#Data from 2015-10-22 at 11:12:9,,
Timestamp,PMT,
1928349297,0.006,100
1928349397,0.003,100
1928349497,0.003,100
1928349597,0.003,100
1928349697,0.003,100
1928349797,0.003,100
1928349897,0.003,100
1928349997,0.003,100
1928350097,0.003,100
1928350197,0.009,100
1928350297,0.003,100
1928350397,0.003,100
1928350497,0.003,100
1928350597,0.003,100
1928350697,0.003,100
1928350797,0.012,100
1928350897,0.003,100
1928350997,0.003,100
1928351097,0.003,100
1928351197,0.006,100
1928351297,0.003,100
1928351397,0.006,100
1928351497,0.006,100
1928351597,0.003,100
1928351697,0.003,100
1928351797,0.003,100
1928351897,0.006,100
1928351997,0.003,100
1928352097,0.003,100
1928352197,0.003,100
1928352297,0.003,100
1928352397,0.006,100
1928352497,0.003,100
1928352597,0.003,100
1928352697,0.003,100
1928352797,0.003,100
1928352897,0.003,100
1928352997,0.006,100
1928353097,0.003,100
1928353197,0.003,100
1928353297,0.003,100
1928353397,0.003,100
1928353497,0.003,100
1928353597,0.003,100
1928353697,0.006,100
1928353797,0.003,100
1928353897,0.003,100
1928353997,0.003,100
1928354097,0.003,100
1928354197,0.009,100
1928354297,0.003,100
1928354397,0.003,100
1928354497,0.003,100
1928354597,0.003,100
1928354697,0.003,100
1928354797,0.006,100
1928354897,0.025,100
1928354997,0.003,100
1928355097,0.009,100
1928355197,0.003,100
1928355297,0.025,100
1928355397,0.003,100
1928355497,0.006,100
1928355597,0.003,100
1928355697,0.003,100
1928355797,0.006,100
1928355897,0.003,100
1928355997,0.003,100
1928356097,0.003,100
1928356197,0.009,100
1928356297,0.006,100
1928356397,0.003,100
1928356497,0.003,100
1928356597,0.003,100
1928356697,0.003,100
1928356797,0.006,100
1928356897,0.006,100
1928356997,0.003,100
1928357097,0.003,100
1928357197,0.003,100
1928357297,0.025,100
1928357397,0.003,100
1928357497,0.012,100
1928357597,0.003,100
1928357697,0.003,100
1928357797,0.006,100
1928357897,0.003,100
1928357997,0.003,100
1928358097,0.003,100
1928358197,0.022,100
1928358297,0.003,100
1928358397,0.006,100
1928358497,0.003,100
1928358597,0.003,100
1928358697,0.006,100
1928358797,0.003,100
1928358897,0.006,100
1928358997,0.003,100
1928359097,0.003,100
1928359197,0.003,100
1928359297,0.003,100
1928359397,0.003,100
1928359497,0.003,100
1928359597,0.003,100
1928359697,0.003,100
1928359797,0.009,100
1928359897,0.006,100
1928359997,0.003,100
1928360097,0.006,100
1928360197,0.003,100
1928360297,0.003,100
1928360397,0.003,100
1928360497,0.003,100
1928360597,0.003,100
1928360697,0.003,100
1928360797,0.003,100
1928360897,0.003,100
1928360997,0.003,100
1928361097,0.003,100
1928361197,0.006,100
1928361297,0.003,100
1928361397,0.003,100
1928361497,0.003,100
1928361597,0.003,100
1928361697,0.009,100
1928361797,0.003,100
1928361897,0.003,100
1928361997,0.003,100
1928362097,0.006,100
1928362197,0.006,100
1928362297,0.029,100
1928362397,0.003,100
1928362497,0.003,100
1928362597,0.003,100
1928362697,0.003,100
1928362797,0.003,100
1928362897,0.022,100
1928362997,0.003,100
1928363097,0.016,100
1928363197,0.003,100
1928363297,0.006,100
1928363397,0.003,100
1928363497,0.006,100
1928363597,0.003,100
1928363697,0.003,100
1928363797,0.006,100
1928363897,0.003,100
1928363997,0.003,100
1928364097,0.003,100
1928364197,0.003,100
1928364297,0.012,100
1928364397,0.006,100
1928364497,0.003,100
1928364597,0.003,100
1928364697,0.003,100
1928364797,0.003,100
1928364897,0.006,100
1928364997,0.003,100
1928365097,0.006,100
1928365197,0.006,100
1928365297,0.003,100
1928365397,0.003,100
1928365497,0.006,100
1928365597,0.003,100
1928365697,0.006,100
1928365797,0.003,100
1928365897,0.012,100
1928365997,0.003,100
1928366097,0.003,100
1928366197,0.003,100
1928366297,0.003,100
1928366397,0.003,100
1928366497,0.003,100
1928366597,0.003,100
1928366697,0.003,100
1928366797,0.003,100
1928366897,0.003,100
1928366997,0.003,100
1928367097,0.006,100
1928367197,0.003,100
1928367297,0.003,100
1928367397,0.003,100
1928367497,0.003,100
1928367597,0.003,100
1928367697,0.025,100
1928367797,0.003,100
1928367897,0.003,100
1928367997,0.003,100
1928368097,0.003,100
1928368197,0.003,100
1928368297,0.003,100
1928368397,0.006,100
1928368497,0.003,100
1928368597,0.003,100
1928368697,0.003,100
1928368797,0.003,100
1928368897,0.003,100
1928368997,0.003,100
1928369097,0.003,100
1928369197,0.003,100
1928369297,0.003,100
1928369397,0.006,100
1928369497,0.003,100
1928369597,0.003,100
1928369697,0.003,100
1928369797,0.006,100
1928369897,0.003,100
1928369997,0.003,100
1928370097,0.003,100
1928370197,0.003,100
1928370297,0.006,100
1928370397,0.003,100
1928370497,0.003,100
1928370597,0.003,100
1928370697,0.003,100
1928370797,0.003,100
1928370897,0.003,100
1928370997,0.003,100
1928371097,0.003,100
1928371197,0.003,100
1928371297,0.003,100
1928371397,0.016,100
1928371497,0.003,100
1928371597,0.003,100
1928371697,0.003,100
1928371797,0.006,100
1928371897,0.003,100
1928371997,0.003,100
1928372097,0.003,100
1928372197,0.003,100
1928372297,0.003,100
1928372397,0.003,100
1928372497,0.003,100
1928372597,0.003,100
1928372697,0.003,100
1928372797,0.003,100
1928372897,0.006,100
1928372997,0.003,100
1928373097,0.003,100
1928373197,0.003,100
1928373297,0.003,100
1928373397,0.006,100
1928373497,0.006,100
1928373597,0.003,100
1928373697,0.012,100
1928373797,0.003,100
1928373897,0.003,100
1928373997,0.003,100
1928374097,0.003,100
1928374197,0.003,100
1928374297,0.003,100
1928374397,0.003,100
1928374497,0.006,100
1928374597,0.003,100
1928374697,0.006,100
1928374797,0.003,100
1928374897,0.003,100
1928374997,0.003,100
1928375097,0.003,100
1928375197,0.003,100
1928375297,0.003,100
1928375397,0.003,100
1928375497,0.006,100
1928375597,0.003,100
1928375697,0.003,100
1928375797,0.006,100
1928375897,0.022,100
1928375997,0.006,100
1928376097,0.003,100
1928376197,0.003,100
1928376297,0.003,100
1928376397,0.003,100
1928376497,0.003,100
1928376597,0.003,100
1928376698,0.006,101
1928376797,0.003,99
1928376897,0.003,100
