S130C	2015-10-20 08:00:30
value unit [W]	time unit [ms]
wavelength	532.000nm
range	AUTO
3.223103E-03	232227
3.223070E-03	232527
3.223164E-03	232827
3.223151E-03	233127
3.223124E-03	233427
3.223166E-03	233727
3.223193E-03	234027
3.223270E-03	234327
3.223250E-03	234627
3.223225E-03	234927
3.223242E-03	235227
3.223335E-03	235527
3.223326E-03	235827
3.223316E-03	236127
3.223458E-03	236427
3.223454E-03	236727
3.223513E-03	237027
3.223555E-03	237327
3.223592E-03	237627
3.223557E-03	237927
3.223524E-03	238227
3.223561E-03	238528
3.223547E-03	238828
3.223591E-03	239128
3.223597E-03	239428
3.223590E-03	239728
3.223553E-03	240028
3.223580E-03	240328
3.223678E-03	240628
3.223750E-03	240934
3.223697E-03	241234
3.223770E-03	241534
3.223773E-03	241834
3.223754E-03	242134
3.223730E-03	242434
3.223809E-03	242734
3.223782E-03	243034
3.223820E-03	243334
3.223817E-03	243634
3.223846E-03	243934
3.223858E-03	244234
3.223850E-03	244534
3.223855E-03	244834
3.223780E-03	245134
3.223804E-03	245434
3.223822E-03	245736
3.223747E-03	246035
3.223837E-03	246336
3.223828E-03	246635
3.223807E-03	246936
3.223835E-03	247235
3.223849E-03	247536
3.223886E-03	247835
3.223808E-03	248136
3.223812E-03	248435
3.223771E-03	248736
3.223804E-03	249035
3.223751E-03	249336
3.223799E-03	249635
3.223754E-03	249936
3.223715E-03	250235
3.223775E-03	250536
3.223790E-03	250835
3.223754E-03	251136
3.223744E-03	251435
3.223699E-03	251736
3.223754E-03	252035
3.223745E-03	252336
3.223714E-03	252635
3.223672E-03	252936
3.223715E-03	253236
3.223686E-03	253537
3.223725E-03	253836
3.223716E-03	254137
3.223696E-03	254436
3.223703E-03	254737
3.223662E-03	255036
3.223720E-03	255337
3.223811E-03	255636
3.223799E-03	255937
3.223714E-03	256236
3.223741E-03	256537
3.223780E-03	256836
3.223815E-03	257137
3.223745E-03	257436
3.223711E-03	257737
3.223749E-03	258036
3.223703E-03	258337
3.223764E-03	258636
3.223734E-03	258937
3.223754E-03	259236
3.223764E-03	259537
3.223788E-03	259836
3.223900E-03	260137
3.223769E-03	260437
3.223814E-03	260738
3.223775E-03	261037
3.223804E-03	261338
3.223728E-03	261637
3.223734E-03	261938
3.223748E-03	262237
3.223760E-03	262538
3.223763E-03	262837
3.223829E-03	263138
3.223818E-03	263437
3.223867E-03	263738
3.223773E-03	264037
3.223842E-03	264338
3.223856E-03	264637
3.223873E-03	264938
3.223886E-03	265237
3.223840E-03	265538
3.223901E-03	265837
3.223886E-03	266138
3.223963E-03	266437
3.223907E-03	266738
3.224025E-03	267037
3.224008E-03	267338
3.224045E-03	267638
3.223962E-03	267939
3.223992E-03	268238
3.223993E-03	268539
3.223938E-03	268838
3.224045E-03	269139
3.224007E-03	269438
3.224044E-03	269739
3.224073E-03	270038
3.224071E-03	270345
3.224151E-03	270644
3.224044E-03	270945
3.224054E-03	271244
3.224057E-03	271545
3.224064E-03	271844
3.224076E-03	272145
3.224080E-03	272444
3.224176E-03	272745
3.224034E-03	273044
3.224066E-03	273345
3.224113E-03	273644
3.224111E-03	273945
3.224154E-03	274244
3.224147E-03	274545
3.224112E-03	274844
3.224135E-03	275146
3.224140E-03	275446
3.224066E-03	275746
3.224143E-03	276046
3.224224E-03	276346
3.224161E-03	276646
3.224185E-03	276946
3.224141E-03	277246
3.224214E-03	277546
3.224131E-03	277846
3.224227E-03	278146
3.224190E-03	278446
3.224360E-03	278746
3.224287E-03	279046
3.224293E-03	279346
3.224301E-03	279646
3.224233E-03	279946
3.224288E-03	280246
3.224327E-03	280546
3.224377E-03	280846
3.224261E-03	281146
3.224372E-03	281446
3.224449E-03	281746
3.224338E-03	282046
3.224360E-03	282347
3.224362E-03	282647
3.224332E-03	282947
3.224321E-03	283247
3.224325E-03	283547
3.224339E-03	283847
3.224369E-03	284147
3.224404E-03	284447
3.224367E-03	284747
3.224387E-03	285047
3.224423E-03	285347
3.224368E-03	285647
3.224409E-03	285947
3.224423E-03	286247
3.224453E-03	286547
3.224397E-03	286847
3.224437E-03	287147
3.224424E-03	287447
3.224435E-03	287747
3.224452E-03	288047
3.224455E-03	288347
3.224487E-03	288647
3.224495E-03	288947
3.224467E-03	289247
3.224463E-03	289547
3.224489E-03	289848
3.224525E-03	290148
3.224496E-03	290448
3.224539E-03	290748
3.224514E-03	291048
3.224539E-03	291348
3.224456E-03	291648
3.224538E-03	291948
3.224529E-03	292248
3.224541E-03	292548
3.224573E-03	292848
3.224555E-03	293148
3.224604E-03	293448
3.224645E-03	293748
3.224610E-03	294048
3.224639E-03	294348
3.224653E-03	294648
3.224664E-03	294948
3.224666E-03	295248
3.224594E-03	295548
3.224661E-03	295848
3.224651E-03	296148
3.224719E-03	296448
3.224712E-03	296748
3.224612E-03	297049
3.224672E-03	297349
3.224671E-03	297649
3.224654E-03	297949
3.224676E-03	298249
3.224646E-03	298549
3.224730E-03	298849
3.224745E-03	299149
3.224687E-03	299449
3.224737E-03	299755
3.224645E-03	300055
3.224714E-03	300355
